indice_tiempo,tortas_expellers_pellets_harina_soja_pellets_harina_extr,tortas_expellers_pellets_harina_soja_pellets_harinas_tortas,habas_soja_demas_granel_hasta_15_porciento_embolsado,habas_soja_demas_mas_15_porciento_embolsado,aceite_soja_granel,maiz_demas_grano_granel_hasta_15_porciento_embolsado,maiz_demas_grano_mas_15_porciento_embolsado,maiz_maiz_pisingallo_granel_hasta_15_porciento_embolsado,maiz_maiz_pisingallo_mas_15_porciento_embolsado,maiz_flint_plata_granel_hasta_15_porciento_embolsado,maiz_flint_plata_mas_15_porciento_embolsado,trigo_granel_hasta_15_porciento_embolsado,trigo_pan_mas_15_porciento_embolsado,aceite_girasol_granel,malta_cervecera_malta_cebada_cervecera,cebada_cervecera_granel_hasta_15_porciento_embolsado,cebada_cervecera_mas_15_porciento_embolsado,cacahuate_mani_confiteria_tostadero,cacahuate_mani_demas_granel_hasta_15_porciento_embolsado,cacahuate_mani_demas_mas_15_porciento_embolsado,cacahuate_mani_mani_partido,cebada_cervecera_detalle_granel_hasta_15_porciento_embol,cebada_cervecera_granel_mas_15_porciento_embolsado,arroz_no_parbolizado_cont_grano_quebrado_men_igual_10porc,arroz_puli_glas_no_parbo_cont_grano_quebrado_may_10porc,arroz_pulido_glasaseado_cont_gra_quebr_men_igual_10porc,arroz_pulido_glaseado_contenido_grano_quebrado_may_10porc,harina_trigo,sorgo_granifero_demas_granel_hasta_15_porciento_embolsado,sorgo_granifero_demas_mas_15_porciento_embolsado,poro_blanc_alubias_ovales_envases_may_20_kg,poro_blanc_alubias_env_may_20_kg_dsd_191_hta_220_gr_c_100_gr,poro_blanc_alubias_env_may_20_kg_dsd_221_gr_cada_100_gr,poro_blanc_alubias_env_may_20_kg_hta_190_gr_cada_100_gr,poro_negros_envases_may_20_kg,tortas_expellers_pellets_harinas_girasol_tortas,tortas_expellers_pellets_harinas_girasol_harinas_tortas,tortas_expellers_pellets_harinas_girasol_pellets_integral,tortas_expellers_pellets_harinas_girasol_pellets_extr,semilla_girasol_unica_ind_demas_granel_hta_15_porc_embol,semilla_girasol_unica_ind_demas_girasol_tipo_confiteria,semilla_girasol_unica_ind_demas_mas_15_por_embolsado,aceite_cacahuete_mani_granel,s_cardar_peinar_desmo_algo_grado_b,algo_s_cardar_peinar_desmo_grado_c,s_cardar_peinar_desmo_grado_c_1_2,s_cardar_peinar_desmo_grado_d_1_2_long_27_mm_1_1_16,s_cardar_peinar_desmo_grado_d_long_27_mm_1_1_16,s_cardar_peinar_desmotado_grado_long_26_mm_1_1_32,sin_cardar_peinar_desmotado_grado_f_long_26_mm_1_1_32,garbanzos_enteros,garbanzos_partidos,porotos_colorados_envases_mayores_20_kg,arvejas_enteras,arvejas_partidas,aceite_girasol_demas_refinado_granel,aceite_girasol_demas_refinado_tambores_mas_200_litros,arroz_descascarillado_arroz_cargo_arroz_pardo_demas_no_parbo
1993-01-04,189.0,189.0,217.0,237.0,422.0,118.0,138.0,0.0,0.0,0.0,0.0,123.0,0.0,423.0,0.0,105.0,130.0,550.0,220.0,245.0,0.0,135.0,160.0,320.0,300.0,0.0,0.0,195.0,89.0,109.0,0.0,430.0,300.0,460.0,410.0,112.0,108.0,95.0,110.0,210.0,0.0,230.0,545.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,420.0,0.0,350.0,242.0,0.0,0.0,0.0,250.0
1993-01-05,189.0,189.0,217.0,237.0,421.0,118.0,138.0,0.0,0.0,0.0,0.0,123.0,0.0,423.0,0.0,105.0,130.0,550.0,220.0,245.0,0.0,135.0,160.0,320.0,300.0,0.0,0.0,195.0,89.0,109.0,0.0,430.0,300.0,460.0,410.0,112.0,108.0,92.0,110.0,210.0,0.0,230.0,545.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,420.0,0.0,350.0,242.0,0.0,0.0,0.0,250.0
1993-01-06,188.0,188.0,218.0,238.0,420.0,118.0,138.0,0.0,0.0,0.0,0.0,123.0,0.0,420.0,0.0,105.0,130.0,550.0,220.0,245.0,0.0,135.0,160.0,320.0,300.0,0.0,0.0,195.0,89.0,109.0,0.0,430.0,300.0,460.0,410.0,112.0,108.0,92.0,110.0,210.0,0.0,230.0,545.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,420.0,0.0,350.0,242.0,0.0,0.0,0.0,250.0
1993-01-07,188.0,188.0,219.0,239.0,421.0,118.0,138.0,0.0,0.0,0.0,0.0,124.0,0.0,422.0,0.0,105.0,130.0,550.0,220.0,245.0,0.0,135.0,160.0,320.0,300.0,0.0,0.0,195.0,89.0,109.0,0.0,430.0,300.0,460.0,410.0,112.0,108.0,92.0,110.0,210.0,0.0,230.0,545.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,420.0,0.0,350.0,242.0,0.0,0.0,0.0,250.0
1993-01-08,188.0,188.0,219.0,239.0,421.0,118.0,138.0,0.0,0.0,0.0,0.0,124.0,0.0,425.0,0.0,105.0,130.0,550.0,220.0,245.0,0.0,135.0,160.0,320.0,300.0,0.0,0.0,195.0,89.0,109.0,0.0,430.0,300.0,460.0,410.0,117.0,113.0,95.0,115.0,210.0,0.0,230.0,545.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,420.0,0.0,350.0,242.0,0.0,0.0,0.0,250.0
1993-01-09,188.0,188.0,219.0,239.0,421.0,118.0,138.0,0.0,0.0,0.0,0.0,124.0,0.0,425.0,0.0,105.0,130.0,550.0,220.0,245.0,0.0,135.0,160.0,320.0,300.0,0.0,0.0,195.0,89.0,109.0,0.0,430.0,300.0,460.0,410.0,117.0,113.0,95.0,115.0,210.0,0.0,230.0,545.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,420.0,0.0,350.0,242.0,0.0,0.0,0.0,250.0
1993-01-10,188.0,188.0,219.0,239.0,421.0,118.0,138.0,0.0,0.0,0.0,0.0,124.0,0.0,425.0,0.0,105.0,130.0,550.0,220.0,245.0,0.0,135.0,160.0,320.0,300.0,0.0,0.0,195.0,89.0,109.0,0.0,430.0,300.0,460.0,410.0,117.0,113.0,95.0,115.0,210.0,0.0,230.0,545.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,420.0,0.0,350.0,242.0,0.0,0.0,0.0,250.0
1993-01-11,188.0,188.0,221.0,241.0,425.0,118.0,138.0,0.0,0.0,0.0,0.0,124.0,0.0,426.0,0.0,105.0,130.0,550.0,220.0,245.0,0.0,135.0,160.0,320.0,300.0,0.0,0.0,195.0,89.0,109.0,0.0,430.0,300.0,460.0,410.0,117.0,113.0,95.0,115.0,210.0,0.0,230.0,545.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,420.0,0.0,350.0,242.0,0.0,0.0,0.0,250.0
1993-01-12,189.0,189.0,223.0,243.0,427.0,118.0,138.0,0.0,0.0,0.0,0.0,124.0,0.0,429.0,0.0,105.0,130.0,550.0,220.0,245.0,0.0,135.0,160.0,320.0,300.0,0.0,0.0,195.0,89.0,109.0,0.0,430.0,300.0,460.0,410.0,122.0,118.0,100.0,120.0,210.0,0.0,230.0,545.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,420.0,0.0,350.0,242.0,0.0,0.0,0.0,250.0
1993-01-13,189.0,189.0,223.0,243.0,428.0,118.0,138.0,0.0,0.0,0.0,0.0,125.0,0.0,429.0,0.0,105.0,130.0,550.0,220.0,245.0,0.0,135.0,160.0,320.0,300.0,0.0,0.0,195.0,89.0,109.0,0.0,430.0,300.0,460.0,410.0,122.0,118.0,100.0,120.0,210.0,0.0,230.0,545.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,420.0,0.0,350.0,242.0,0.0,0.0,0.0,250.0
